Designator,Mid X,Mid Y,Rotation,Layer
D1,56.5547,-34.5282,0.0,bottom
D10,43.2922,-50.4435,90.0,bottom
D11,32.7422,-72.6282,0.0,bottom
D12,56.5547,-72.6282,0.0,bottom
D13,75.6047,-73.2235,0.0,bottom
D14,94.6548,-73.2235,0.0,bottom
D15,113.7048,-82.1532,0.0,bottom
D16,32.7422,-91.6782,0.0,bottom
D17,56.5547,-91.6782,0.0,bottom
D18,75.6047,-91.6782,0.0,bottom
D19,94.6548,-91.6782,0.0,bottom
D2,75.6047,-34.5282,0.0,bottom
D20,32.7422,-110.7282,0.0,bottom
D21,56.5547,-110.7282,0.0,bottom
D22,75.6047,-110.7282,0.0,bottom
D23,94.6548,-110.7282,0.0,bottom
D24,113.6548,-120.6485,0.0,bottom
D25,32.7422,-129.7782,0.0,bottom
D26,66.0797,-129.7782,0.0,bottom
D27,94.6548,-130.3735,0.0,bottom
D28,127.0861,-77.7922,0.0,top
D29,134.2298,-77.7923,0.0,top
D3,94.6548,-34.5282,0.0,bottom
D30,141.3735,-77.7922,0.0,top
D4,113.7048,-34.5282,0.0,bottom
D5,43.2922,-31.3935,90.0,bottom
D6,56.5547,-53.5782,0.0,bottom
D7,75.6047,-53.5782,0.0,bottom
D8,94.6548,-53.5782,0.0,bottom
D9,113.7048,-53.5782,0.0,bottom
LED1,52.9828,-39.886,0.0,top
LED10,52.9828,-77.9859,0.0,top
LED11,72.0328,-77.9859,0.0,top
LED12,91.0828,-77.9859,0.0,top
LED13,119.6578,-77.9859,90.0,top
LED14,33.9328,-97.036,0.0,top
LED15,52.9828,-97.0359,0.0,top
LED16,72.0328,-97.0359,0.0,top
LED17,91.0828,-97.0359,0.0,top
LED18,33.3375,-116.0861,0.0,top
LED19,55.3641,-116.0859,0.0,top
LED2,72.0328,-39.886,0.0,top
LED20,69.6516,-116.086,0.0,top
LED21,91.6782,-116.086,0.0,top
LED22,119.6579,-116.086,90.0,top
LED23,33.3735,-135.136,0.0,top
LED24,62.5079,-135.136,0.0,top
LED25,91.0829,-135.136,0.0,top
LED3,91.0828,-39.886,0.0,top
LED4,110.1328,-39.886,0.0,top
LED5,52.9828,-58.9359,0.0,top
LED6,72.0328,-58.9359,0.0,top
LED7,91.0828,-58.9359,0.0,top
LED8,110.1328,-58.9359,0.0,top
LED9,33.9328,-77.986,0.0,top
R1,134.2298,-85.698,0.0,top
R2,134.2298,-88.5776,0.0,top
R3,134.2298,-91.4572,0.0,top
RESW1,33.5172,-28.536,0.0,top
RESW2,33.5172,-47.586,0.0,top
S1,52.9828,-30.361,0.0,top
S10,52.9828,-68.4609,0.0,top
S11,72.0328,-68.4609,0.0,top
S12,91.0828,-68.4609,0.0,top
S13,110.1328,-77.9859,0.0,top
S14,33.9328,-87.511,0.0,top
S15,52.9828,-87.5109,0.0,top
S16,72.0328,-87.5109,0.0,top
S17,91.0828,-87.5109,0.0,top
S18,33.9328,-106.561,0.0,top
S19,52.9828,-106.5609,0.0,top
S2,72.0328,-30.361,0.0,top
S20,72.0328,-106.5609,0.0,top
S21,91.0828,-106.5609,0.0,top
S22,110.1328,-116.0859,0.0,top
S23,33.9328,-125.611,0.0,top
S24,62.5078,-125.6109,0.0,top
S25,91.0828,-125.6109,0.0,top
S3,91.0828,-30.361,0.0,top
S4,110.1328,-30.361,0.0,top
S5,52.9828,-49.4109,0.0,top
S6,72.0328,-49.4109,0.0,top
S7,91.0828,-49.4109,0.0,top
S8,110.1328,-49.4109,0.0,top
S9,33.9328,-68.461,0.0,top
U1,134.2298,-47.081,0.0,top
