Designator,Mid X,Mid Y,Rotation,Layer
D1,72.985,-28.4475,90.0,bottom
D10,149.185,-47.4975,90.0,bottom
D11,72.985,-66.5475,90.0,bottom
D12,92.035,-66.5475,90.0,bottom
D13,111.085,-66.5475,90.0,bottom
D14,130.135,-66.5475,90.0,bottom
D15,149.185,-66.5475,90.0,bottom
D16,72.985,-85.5975,90.0,bottom
D17,92.035,-85.5975,90.0,bottom
D18,111.085,-85.5975,90.0,bottom
D19,130.135,-85.5975,90.0,bottom
D2,92.035,-28.4475,90.0,bottom
D20,149.185,-85.5975,90.0,bottom
D21,149.185,-104.6475,90.0,bottom
D22,130.135,-104.6475,90.0,bottom
D23,111.085,-104.6475,90.0,bottom
D24,92.035,-104.6475,90.0,bottom
D25,72.985,-104.6475,90.0,bottom
D26,22.9788,-74.6437,0.0,top
D27,30.1225,-74.6437,0.0,top
D28,37.2663,-74.6437,0.0,top
D29,39.6475,-109.41,90.0,bottom
D3,111.085,-28.4475,90.0,bottom
D30,39.6475,-90.36,90.0,bottom
D4,130.135,-28.4475,90.0,bottom
D5,149.185,-28.4475,90.0,bottom
D6,72.985,-47.4975,90.0,bottom
D7,92.035,-47.4975,90.0,bottom
D8,111.085,-47.4975,90.0,bottom
D9,130.135,-47.4975,90.0,bottom
LED1,63.46,-19.875,0.0,top
LED10,139.66,-38.925,0.0,top
LED11,63.46,-57.975,0.0,top
LED12,82.51,-57.975,0.0,top
LED13,101.56,-57.975,0.0,top
LED14,120.61,-57.975,0.0,top
LED15,139.66,-57.975,0.0,top
LED16,63.46,-77.025,0.0,top
LED17,82.51,-77.025,0.0,top
LED18,101.56,-77.025,0.0,top
LED19,120.61,-77.025,0.0,top
LED2,82.51,-19.875,0.0,top
LED20,139.66,-77.025,0.0,top
LED21,63.46,-96.075,0.0,top
LED22,82.51,-96.075,0.0,top
LED23,101.56,-96.075,0.0,top
LED24,120.61,-96.075,0.0,top
LED25,139.66,-96.075,0.0,top
LED3,101.56,-19.875,0.0,top
LED4,120.61,-19.875,0.0,top
LED5,139.66,-19.875,0.0,top
LED6,63.46,-38.925,0.0,top
LED7,82.51,-38.925,0.0,top
LED8,101.56,-38.925,0.0,top
LED9,120.61,-38.925,0.0,top
R1,18.2163,-77.025,270.0,top
R2,30.1225,-79.4062,0.0,top
R3,42.0288,-77.025,90.0,top
RE_3_1,29.3475,-107.9375,0.0,top
RE_3_2,29.3475,-88.8875,0.0,top
S1,63.46,-29.4,0.0,top
S10,139.66,-48.45,0.0,top
S11,63.46,-67.5,0.0,top
S12,82.51,-67.5,0.0,top
S13,101.56,-67.5,0.0,top
S14,120.61,-67.5,0.0,top
S15,139.66,-67.5,0.0,top
S16,63.46,-86.55,0.0,top
S17,82.51,-86.55,0.0,top
S18,101.56,-86.55,0.0,top
S19,120.61,-86.55,0.0,top
S2,82.51,-29.4,0.0,top
S20,139.66,-86.55,0.0,top
S21,63.46,-105.6,0.0,top
S22,82.51,-105.6,0.0,top
S23,101.56,-105.6,0.0,top
S24,120.61,-105.6,0.0,top
S25,139.66,-105.6,0.0,top
S3,101.56,-29.4,0.0,top
S4,120.61,-29.4,0.0,top
S5,139.66,-29.4,0.0,top
S6,63.46,-48.45,0.0,top
S7,82.51,-48.45,0.0,top
S8,101.56,-48.45,0.0,top
S9,120.61,-48.45,0.0,top
U2,29.4875,-43.9325,0.0,top
